student_id,name,branch,cgpa,shortlisted_companies
S001,Student 1,EEE,8.2,"['C004', 'C016', 'C034', 'C035', 'C017', 'C030']"
S002,Student 2,ISE,7.69,"['C012', 'C023', 'C030', 'C013', 'C027', 'C001', 'C031']"
S003,Student 3,ME,8.32,"['C002', 'C001']"
S004,Student 4,CSE,9.02,"['C012', 'C027', 'C031', 'C032']"
S005,Student 5,ISE,7.61,"['C001', 'C012', 'C027', 'C034', 'C013', 'C033', 'C031']"
S006,Student 6,ECE,7.61,"['C032', 'C003', 'C023', 'C008', 'C015', 'C001', 'C013']"
S007,Student 7,CIVIL,9.06,"['C005', 'C033', 'C026', 'C009', 'C002', 'C017']"
S008,Student 8,CSE,8.41,"['C002', 'C027', 'C035']"
S009,Student 9,CIVIL,7.42,"['C008', 'C023', 'C006', 'C033', 'C012', 'C024', 'C031']"
S010,Student 10,EEE,8.23,"['C017', 'C016', 'C018', 'C004', 'C006', 'C034']"
S011,Student 11,ISE,7.43,"['C031', 'C024', 'C003', 'C001', 'C013']"
S012,Student 12,ME,7.43,"['C003', 'C027']"
S013,Student 13,ISE,7.99,"['C012', 'C023', 'C003', 'C013', 'C033']"
S014,Student 14,ECE,6.27,[]
S015,Student 15,ISE,6.42,[]
S016,Student 16,EEE,7.35,"['C006', 'C034']"
S017,Student 17,CIVIL,6.99,['C008']
S018,Student 18,ECE,8.05,"['C003', 'C025']"
S019,Student 19,ISE,7.07,"['C013', 'C027', 'C003']"
S020,Student 20,CIVIL,6.67,"['C023', 'C031']"
S021,Student 21,ME,8.97,"['C018', 'C002', 'C003', 'C027', 'C035', 'C001', 'C028', 'C013']"
S022,Student 22,ISE,7.62,"['C012', 'C030', 'C031', 'C027', 'C023']"
S023,Student 23,CSE,7.85,"['C003', 'C034']"
S024,Student 24,ISE,6.66,['C031']
S025,Student 25,ME,7.36,"['C024', 'C008', 'C001']"
S026,Student 26,ECE,7.89,"['C001', 'C015', 'C012', 'C025', 'C003', 'C032']"
S027,Student 27,ECE,6.88,"['C008', 'C001', 'C023']"
S028,Student 28,ISE,8.1,"['C024', 'C001', 'C012']"
S029,Student 29,CIVIL,7.32,"['C033', 'C023', 'C008']"
S030,Student 30,ECE,7.57,"['C003', 'C012', 'C001']"
S031,Student 31,EEE,7.32,['C006']
S032,Student 32,EEE,9.28,"['C007', 'C006', 'C034', 'C002', 'C030', 'C016']"
S033,Student 33,ECE,7.79,"['C003', 'C013', 'C008', 'C015', 'C023']"
S034,Student 34,EEE,6.95,['C006']
S035,Student 35,CSE,8.46,"['C003', 'C027', 'C012', 'C001', 'C002']"
S036,Student 36,ME,6.82,"['C023', 'C031', 'C008', 'C001']"
S037,Student 37,EEE,7.97,"['C018', 'C004', 'C030', 'C017']"
S038,Student 38,CSE,6.23,[]
S039,Student 39,ME,6.74,"['C027', 'C023']"
S040,Student 40,CSE,7.96,"['C031', 'C024', 'C032', 'C003', 'C016', 'C030']"
S041,Student 41,CIVIL,8.39,"['C017', 'C020', 'C012', 'C023', 'C008', 'C006', 'C009']"
S042,Student 42,CIVIL,7.94,"['C012', 'C023', 'C031', 'C033', 'C017', 'C024', 'C006']"
S043,Student 43,ECE,7.71,"['C012', 'C032', 'C013', 'C015', 'C008']"
S044,Student 44,EEE,7.56,"['C035', 'C034', 'C006', 'C018']"
S045,Student 45,CIVIL,6.62,['C023']
S046,Student 46,ECE,7.22,"['C003', 'C023', 'C032', 'C008', 'C015', 'C001']"
S047,Student 47,ISE,7.43,['C001']
S048,Student 48,ISE,8.65,"['C009', 'C031', 'C016', 'C024', 'C023', 'C012', 'C033', 'C019']"
S049,Student 49,EEE,8.07,"['C016', 'C004', 'C030', 'C034']"
S050,Student 50,EEE,6.39,[]
S051,Student 51,ISE,8.06,"['C034', 'C033', 'C027']"
S052,Student 52,EEE,7.49,['C018']
S053,Student 53,CSE,7.26,"['C006', 'C032', 'C027', 'C024', 'C031', 'C034', 'C003', 'C012']"
S054,Student 54,ME,8.29,"['C013', 'C031', 'C030', 'C008', 'C025', 'C004', 'C023', 'C033']"
S055,Student 55,ME,8.62,"['C017', 'C018', 'C030', 'C002', 'C024', 'C008', 'C004', 'C025']"
S056,Student 56,ECE,8.55,"['C023', 'C003', 'C008', 'C032', 'C025', 'C012']"
S057,Student 57,CIVIL,7.13,"['C008', 'C006']"
S058,Student 58,EEE,7.55,"['C034', 'C035', 'C018', 'C006']"
S059,Student 59,CSE,8.07,"['C025', 'C035', 'C031', 'C001']"
S060,Student 60,ME,8.58,"['C031', 'C001', 'C024', 'C008', 'C025', 'C015', 'C027']"
S061,Student 61,ME,7.42,"['C024', 'C013', 'C015', 'C023']"
S062,Student 62,EEE,7.65,['C034']
S063,Student 63,ECE,6.91,"['C008', 'C023', 'C001', 'C013']"
S064,Student 64,EEE,6.84,[]
S065,Student 65,ME,8.45,['C003']
S066,Student 66,CIVIL,8.88,"['C008', 'C026', 'C006', 'C002', 'C033', 'C011', 'C009']"
S067,Student 67,ISE,7.74,"['C024', 'C034', 'C027', 'C023', 'C031', 'C013', 'C012', 'C001']"
S068,Student 68,EEE,8.6,['C030']
S069,Student 69,CSE,8.09,"['C012', 'C032', 'C003', 'C001', 'C031', 'C035']"
S070,Student 70,ISE,7.28,['C034']
S071,Student 71,ISE,8.09,"['C012', 'C025', 'C031', 'C003']"
S072,Student 72,ME,9.03,"['C028', 'C018', 'C024', 'C013']"
S073,Student 73,ME,7.77,"['C035', 'C008']"
S074,Student 74,ECE,9.05,"['C001', 'C029']"
S075,Student 75,ECE,6.0,[]
S076,Student 76,ME,8.46,"['C025', 'C015', 'C003', 'C020', 'C024', 'C023', 'C004']"
S077,Student 77,CSE,7.87,"['C032', 'C031', 'C003', 'C034', 'C001']"
S078,Student 78,ECE,7.56,"['C015', 'C001', 'C013', 'C008', 'C023', 'C003', 'C032']"
S079,Student 79,CSE,7.87,"['C024', 'C032', 'C027', 'C006', 'C025', 'C031', 'C035']"
S080,Student 80,ME,6.21,[]
S081,Student 81,CIVIL,7.62,"['C024', 'C033', 'C023']"
S082,Student 82,EEE,8.09,"['C018', 'C020', 'C030', 'C006', 'C004', 'C016', 'C034']"
S083,Student 83,ISE,8.98,"['C034', 'C026', 'C024', 'C001', 'C019', 'C027', 'C014', 'C009']"
S084,Student 84,EEE,7.39,['C034']
S085,Student 85,ECE,7.15,"['C008', 'C023', 'C032']"
S086,Student 86,ME,7.4,['C027']
S087,Student 87,ISE,8.53,"['C012', 'C030']"
S088,Student 88,EEE,8.06,"['C035', 'C017', 'C020', 'C034', 'C030', 'C018', 'C004', 'C016']"
S089,Student 89,ECE,7.38,"['C023', 'C015', 'C003', 'C008']"
S090,Student 90,CIVIL,8.21,"['C024', 'C031', 'C020', 'C012', 'C033', 'C017']"
S091,Student 91,ECE,7.88,"['C023', 'C013', 'C025', 'C008', 'C003', 'C001']"
S092,Student 92,CIVIL,8.57,"['C012', 'C005', 'C022', 'C006']"
S093,Student 93,ISE,7.24,"['C033', 'C023', 'C027', 'C034']"
S094,Student 94,ME,7.54,"['C003', 'C013', 'C015', 'C033', 'C018']"
S095,Student 95,ISE,7.49,"['C001', 'C033', 'C012', 'C031', 'C034']"
S096,Student 96,CSE,6.63,['C031']
S097,Student 97,CIVIL,8.04,"['C008', 'C006', 'C020', 'C012', 'C017', 'C024', 'C033', 'C023']"
S098,Student 98,ISE,8.01,['C016']
S099,Student 99,EEE,7.8,['C006']
S100,Student 100,EEE,7.61,"['C006', 'C035', 'C034', 'C030']"
S101,Student 101,ME,6.67,"['C023', 'C031']"
S102,Student 102,CSE,7.46,"['C035', 'C012', 'C031', 'C034', 'C032', 'C006', 'C027']"
S103,Student 103,ECE,7.53,['C003']
S104,Student 104,ISE,7.16,"['C003', 'C013', 'C001', 'C034', 'C027', 'C031']"
S105,Student 105,ME,7.67,"['C008', 'C001']"
S106,Student 106,EEE,8.12,"['C034', 'C018', 'C004', 'C006', 'C016', 'C035', 'C017', 'C020']"
S107,Student 107,CSE,9.31,"['C021', 'C014', 'C027', 'C006']"
S108,Student 108,ME,7.94,"['C013', 'C033', 'C035', 'C004']"
S109,Student 109,CSE,8.01,['C006']
S110,Student 110,ECE,7.74,"['C032', 'C001', 'C012', 'C008', 'C015']"
S111,Student 111,ECE,6.26,[]
S112,Student 112,ME,7.78,"['C024', 'C003', 'C030', 'C001', 'C023', 'C018', 'C015', 'C008']"
S113,Student 113,CSE,7.85,"['C012', 'C032']"
S114,Student 114,ME,9.77,['C018']
S115,Student 115,ME,7.65,['C035']
